PNNL Metabolite Name (Urine & Plasma) 	Compound	Metacyc Object ID	Map to Homo sapiens	PubChem	CAS	ChEBI	DrugBank	HMDB	LIPID MAPS	Synonyms
pantothenic acid	PANTOTHENATE	PANTOTHENATE	PANTOTHENATE	<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=167945'>167945</a>	<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=79-83-4'>79-83-4</a>	<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:29032'>29032</a>		<a href='http://www.hmdb.ca/metabolites/HMDB00210'>HMDB00210</a>		vitamin B<SUB>5</SUB> // (<i>R</i>)-pantothenic acid // D-pantothenic acid
pseudo uridine*	CPD-497	CPD-497	CPD-497	<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=15047'>15047</a>	<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=1445-07-4'>1445-07-4</a>	<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:17802'>17802</a>		<a href='http://www.hmdb.ca/metabolites/HMDB00767'>HMDB00767</a>		
quinic acid	QUINATE	QUINATE		<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=1560034'>1560034</a>	<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=77-95-2'>77-95-2</a>	<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:29751'>29751</a>				(-)-quinic acid // (-)-quinate // (1S,3R,4S,5R)-1,3,4,5-tetrahydroxycyclohexanecarboxylate
quinolinic acid*	QUINOLINATE	QUINOLINATE	QUINOLINATE	<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5460301'>5460301</a>	<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=89-00-9'>89-00-9</a>	<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:29959'>29959</a>		<a href='http://www.hmdb.ca/metabolites/HMDB00232'>HMDB00232</a>		2,3-pyridinedicarboxylic acid // 2,3-pyridinedicarboxylate // quinolinic acid // pyridine-2,3-dicarboxylic acid // pyridine-2,3-dicarboxylate
ribitol	RIBITOL	RIBITOL			<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=488-81-3'>488-81-3</a>	<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:15963'>15963</a>		<a href='http://www.hmdb.ca/metabolites/HMDB00508'>HMDB00508</a>		<i>meso</i>-ribitol // adonitol // (2R,3s,4S)-pentane-1,2,3,4,5-pentol // D-ribitol
ribonic acid*	CPD-16715	CPD-16715	CPD-16715	<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=90658608'>90658608</a>						2-deoxy-ribonic acid // erythro-pentonic acid
scyllo-inositol	CPD-8050	CPD-8050			<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=488-59-5'>488-59-5</a>	<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:10642'>10642</a>				quercinitol // scyllitol // cyclohexane-1,2,3,4,5,6-hexol // (1r,2r,3r,4r,5r,6r)-cyclohexane-1,2,3,4,5,6-hexol // 1,3,5/2,4,6-cyclohexanehexol
sialic acid	N-ACETYLNEURAMINATE	N-ACETYLNEURAMINATE	N-ACETYLNEURAMINATE	<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=6857396'>6857396</a>	<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=131-48-6'>131-48-6</a>	<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:35418'>35418</a>				sialic acid // NANA // O-sialic acid // sialate // <i>N</i>-acetylneuraminic acid // Neu5Ac // 5-acetamido-3,5-dideoxy-D-glycero-D-galacto-2-nonulosonic acid // 5-acetamido-3,5-dideoxy-D-glycero-D-galacto-non-2-ulopyranosonic acid
stearic acid	STEARIC_ACID	STEARIC_ACID	STEARIC_ACID	<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=3033836'>3033836</a>	<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=57-11-4'>57-11-4</a>	<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:25629'>25629</a>		<a href='http://www.hmdb.ca/metabolites/HMDB00827'>HMDB00827</a>		octadecanoate (n-C18:0) // stearic acid // octadecanoic acid
tartaric acid	TARTRATE	TARTRATE		<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=119400'>119400</a>	<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=87-69-4'>87-69-4</a>	<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:30924'>30924</a>		<a href='http://www.hmdb.ca/metabolites/HMDB00956'>HMDB00956</a>		weinsaeure // (+)-tartrate // tartrate // tartaric acid // (R,R)-tartrate // L-tartaric acid // L(+)-tartaric acid // (2R,3R)-tartaric acid // (2R,3R)-tartrate // L-tartarate // L-threarate
trimethyllysine	N6N6N6-TRIMETHYL-L-LYSINE	N6N6N6-TRIMETHYL-L-LYSINE	N6N6N6-TRIMETHYL-L-LYSINE	<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=6992003'>6992003</a>		<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:58100'>58100</a>		<a href='http://www.hmdb.ca/metabolites/HMDB01325'>HMDB01325</a>		(5-amino-5-carboxylato-pentyl)-trimethyl-ammonium // trimethyllysine // epsilon-trimethyllysine // N-trimethyllysine // epsilon-trimethyl-L-lysine // N(epsilon)-trimethyllysine // epsilon-N-trimethyl-L-lysine // <i>N</i><sup>6</sup>,<i>N</i><sup>6</sup>,<i>N</i><sup>6</sup>-trimethyl-L-lysin-<i>N</i><sup>6</sup>-ium // (<i>S</i>)-2-amino-6-(trimethylammonio)hexanoic acid // (<i>S</i>)-5-amino-5-carboxy-<i>N,N,N</i>-trimethyl-1-pentanaminium // &epsilon;-<i>N</i>-trimethyl-L-lysine // &epsilon;-trimethyl-lysine // <i>N</i><sup>6</sup>-trimethyllysine
uracil	URACIL	URACIL	URACIL	<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=1174'>1174</a>	<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=66-22-8'>66-22-8</a>	<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:17568'>17568</a>	<a href='http://www.drugbank.ca/drugs/DB03419'>DB03419</a>	<a href='http://www.hmdb.ca/metabolites/HMDB00300'>HMDB00300</a>		U
xylitol	XYLITOL	XYLITOL	XYLITOL	<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=6912'>6912</a>	<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=87-99-0'>87-99-0</a>	<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:17151'>17151</a>	<a href='http://www.drugbank.ca/drugs/DB01904'>DB01904</a>	<a href='http://www.hmdb.ca/metabolites/HMDB02917'>HMDB02917</a>		(2R,3R,4S)-pentane-1,2,3,4,5-pentaol
nonoic acid	CPD-8505	CPD-8505								
carbote ion	CO3	CO3								
